ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,defer_count,last_defer_date,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
PM,2022-03-21,2022-04-11,77.44112944232533,83.74348828862739,0.0814,21,📉 바닥반등,★★★★★ (6.5),0.4102,Consumer Staples,"시간익절(18일,+7.3%)",21.52172467871772,135.64,0,,0.0169,0.0187,-0.0198,39.95301853379805,43.01674270823907,-0.4096058989088669,0.3281711037625639,0.02765385102097364,0.45552264269034215,0.6091362217977907,-0.21471162047074296,0.3361512727792409,0.056599539441481106,-0.16085789992027777,-0.020470780972236088,0.02442255535777767,,3,-0.11955186233496692,-0.4361795524899159,0.22117079531880765,-0.15631823018909818,-0.9891231752259309,0.5544896146520946,6.5,4.0,6.0,,Consumer Staples,,-0.18297203145441815,neutral,-0.027179047621028317,0.65,0.7,0.465,0.05,0.17,0.0
GM,2022-04-11,2022-04-27,37.3566785523327,36.85615198193563,-0.0134,16,📉 바닥반등,★★★★★ (6.5),0.4654,Consumer Discretionary,트레일링(-9.6%),45.82525205608698,-22.94,0,,0.0752,-0.0266,-0.0603,35.32371308499714,25.62791748749888,-0.32589530124849886,0.04381594097882011,0.043739601509266444,1.0059826803086025,-1.8746541166992088,-0.11339146767415083,0.023316301184633195,-0.08403155058843237,-0.05203561847808802,-0.06997503602112164,-0.12671813974355894,,3,-0.3156611854127055,-0.7075351342295625,-0.4629289366387893,-0.4363101907677774,-0.9136340793507456,0.8227714417776055,6.5,2.0,6.0,,Consumer Discretionary,,-0.10369870558078574,bull,-0.25169001321664647,0.65,0.95,0.459,0.05,0.17,0.0
NEM,2022-04-22,2022-05-10,63.41017306698213,62.057042397731486,-0.0213,18,📈 모멘텀,★★★★★ (11.0),0.4718,Materials,트레일링(-7.5%),53.99383499018536,-73.06,0,,-0.0604,-0.0099,-0.0286,44.31440004640807,34.357537672740065,-0.5662061923576971,0.06824276105535076,0.0353446061135783,3.879201679300108,-1.9496408451324194,-0.0825775574941111,0.7469990325734842,-0.08588386677525717,-0.023444458551422853,0.06660338464944099,0.14947377793379535,1.5023655109422132,3,0.07680233869335394,0.3427406146058456,0.4650903897496576,-0.2606617157368981,-0.9321509269142426,0.6011210289680711,8.0,11.0,6.0,,Materials,,0.035648729776537935,bear,0.17411846302382222,1.0,0.65,0.538,0.05,0.27,0.0
BMY,2022-05-02,2022-05-24,63.62683964254115,64.74962934227325,0.0176,22,📈 모멘텀,★★★★★ (11.0),0.4962,Health Care,"장기보유(21일,+1.8%)",26.544497005952447,29.8,0,,-0.0227,-0.0068,0.0129,52.35110786469994,38.85627030679007,-0.3353009992814906,0.30624589836977806,0.020377923089767876,2.6283797043036965,0.6525543848218521,0.17694759828459508,0.8999819035413559,-0.0063368054416340636,0.030672551167892248,0.04168615872364583,0.09713098374100201,1.2021988113421014,4,0.3143609596435518,0.5362136446994061,0.566114979932191,0.5917565644437114,-0.5876023265150454,0.17048221291780644,6.0,11.0,6.0,,Health Care,,0.08046111151578447,bear,0.13923340549011776,1.0,0.7,0.657,0.05,0.27,0.0
F,2022-06-15,2022-06-17,9.327834721211575,8.579774119527263,-0.0802,2,📉 바닥반등,★★★★★ (6.5),0.459,Consumer Discretionary,손절(-7.9%),271.73745037991483,-203.28,0,,0.0712,-0.0036,0.1201,38.07475375426354,27.51634231664593,-0.044459768447479286,0.10606699148986423,0.04900722670947359,1.8348512983078689,-0.6501489709812744,-0.008267591642133781,0.029803886897286833,-0.11208152865222698,-0.0651342103930398,-0.0659100735654119,-0.10300112937912977,1.2547255127663273,3,-0.1691989413588475,-0.7201948060724386,-0.3500780945450911,-0.008590658005854207,-0.6905911727370617,0.7529598958834063,6.5,2.5,6.0,,Consumer Discretionary,,0.011525766318471506,bear,-0.2240754175464769,0.65,0.95,0.51,0.05,0.17,0.0
MPC,2022-06-17,2022-06-24,84.46275572412945,79.08603363796267,-0.0637,7,📈 모멘텀,★★★★★ (9.5),0.4535,Unknown,손절(-7.8%),28.80659011811652,-154.89,0,,-0.0165,-0.0264,0.0338,36.76538340779702,33.702852632397935,-1.6764295921412824,0.04383000684433031,0.04416484997604206,2.595628102292845,-1.607781694719612,-0.12281900645931297,0.6634111799149243,-0.1740300254302205,-0.04396629458039236,0.061781677402463424,0.21866534821677874,1.5304508569698096,3,0.05925158248269101,0.26562047140207323,0.3498124151754284,-0.32779396352459483,-0.9434084546080326,0.7981238211977213,6.75,9.5,6.0,,Unknown,,0.029161848078621155,bear,0.17084593352799576,0.95,0.65,0.53,0.05,0.22,0.0
NVDA,2022-07-06,2022-07-19,14.985890495457909,16.459520538555523,0.0983,13,📉 바닥반등,★★★★★ (6.5),0.4549,Information Technology,"시간익절(12일,+7.3%)",157.1906234366223,231.64,0,,0.0029,0.1237,0.1452,38.52399809316578,20.85747723374643,-0.10975620799866481,0.18746260986820878,0.06363282344726587,1.691876671260706,-1.6250373041378339,-0.09931319706854264,0.023412533359216423,-0.1129290030088308,-0.20047207077876983,-0.09005058304593158,-0.15699131959358323,1.197889833103609,3,-0.32814070197188394,-0.9608479274948161,-0.5213914663968484,-0.34357666450319224,-0.5781189757975033,0.7045959465093625,6.5,1.0,6.0,,Information Technology,,-0.09310334680717079,bear,-0.29660293796641524,0.65,0.95,0.469,0.05,0.17,0.0
MRK,2022-07-01,2022-07-21,81.50857920589446,79.58915823118883,-0.0235,20,📈 모멘텀,★★★★★ (11.0),0.4519,Unknown,트레일링(-5.6%),28.900534062598755,-55.47,0,,0.0089,-0.0261,0.0252,55.49191033459014,27.44131132477279,0.4863165648423188,0.697086645832382,0.02279159417906692,0.9133981907729887,0.8849148484344574,-0.024161531832041935,0.8682976140230209,-0.009021770945314311,0.008515817155247074,0.019060582014619867,0.07867365327118182,1.1136847598016233,4,0.07714050710178952,0.33929562818274583,0.5396503778691896,0.18422597873532373,-0.36179455918780934,-0.4521800245712856,4.25,11.0,6.0,,Unknown,,0.09042761801487878,bear,0.11546556310581765,1.0,0.6,0.539,0.05,0.22,0.0
WMT,2022-07-27,2022-08-12,38.56796897395863,41.53474276199918,0.0769,16,📉 바닥반등,★★★★★ (6.0),0.451,Consumer Staples,"시간익절(15일,+7.5%)",63.361535536101336,187.98,0,,0.054,0.0123,0.0621,38.05366953325787,26.687055879507003,0.08634095016180679,0.18432496867707565,0.024977846243000278,4.298062274041685,-0.7611894417220698,0.20863337347149113,0.08999761342378926,-0.05850561856822767,-0.017241342663871784,-0.013421698721900705,-0.05537527250506346,1.385490372923289,3,-0.028832402725861378,-0.43489072954548813,-0.2659207452293599,0.3869426945216662,-0.8578029146484485,0.7163232789797948,6.0,4.0,6.0,,Consumer Staples,,-0.018055405684638457,bear,-0.10683793324624881,0.6,0.95,0.53,0.05,0.17,0.0
MRNA,2022-09-02,2022-09-07,140.36000061035156,129.67999267578125,-0.0761,5,📉 바닥반등,★★★★★ (6.5),0.4978,Health Care,손절(-7.3%),18.080047001017395,-193.1,0,,0.075,-0.0302,-0.0313,38.63890008759881,21.443347950696623,-2.4558876832815226,0.2654889551605756,0.05803265070894209,2.024147140251667,-0.8716023990038445,-0.259508984663321,0.06440567505860992,-0.021823344152876234,-0.2844268092014792,-0.032042146448854225,-0.13353574762491346,0.7745255121399776,3,-0.10163821807952866,-0.47440146630814267,-0.724620447077835,-0.34571693662761926,0.6360915804120895,0.6459083084637913,6.5,1.0,6.0,,Health Care,,-0.25034105959971464,bear,-0.21981138243112186,0.65,0.7,0.623,0.35,0.17,0.0
NOW,2022-09-09,2022-09-16,91.61599731445312,86.29399871826172,-0.0581,7,📉 바닥반등,★★★★★ (6.0),0.469,Unknown,트레일링(-8.6%),26.645650944616616,-141.81,0,,-0.1262,-0.1248,-0.2079,47.30650825654121,18.56070749191172,-0.4187599658095811,0.3891142526997566,0.036373737985172225,0.325233183018368,-0.2940987440553849,-0.025598590864260938,0.1330662377394135,0.03715884673654335,-0.1267531848695299,-0.019765926575082082,-0.08818206497198824,0.774580941283932,3,-0.13387471129584655,-0.6707090779505676,-0.6193113850426142,-0.09055920224722794,0.6359815614181055,0.2568597382594046,6.0,0.75,6.0,,Unknown,,-0.09773344831551042,bear,-0.11130868273035437,0.6,0.5,0.56,0.35,0.42,0.0
SNPS,2022-09-13,2022-09-23,329.6700134277344,304.6199951171875,-0.076,10,📉 바닥반등,★★★★★ (7.8),0.4521,Information Technology,트레일링(-6.9%),7.404883022273937,-185.49,0,,0.0029,0.0078,-0.0267,42.87217295127192,28.868727751033777,-2.7322528004883773,0.3169354305068522,0.026261090108576163,-0.8226391786752979,-0.8636059494910745,-0.18017499057886036,0.6073907993828679,0.027226524886468484,-0.11903280560451712,0.008605132034240102,0.06496596560144312,0.7760163258775844,3,0.07753459023752604,-0.10052227629489079,0.17701653393734007,-0.5215195069608807,0.6331235166323874,0.48823543977199113,7.75,7.5,6.0,,Information Technology,,-0.027534496532413147,bear,0.05252613864809324,0.775,0.35,0.641,0.35,0.27,0.0
NOW,2022-09-19,2022-09-23,84.55999755859375,76.58599853515625,-0.0943,4,📉 바닥반등,★★★★★ (6.0),0.4958,Unknown,손절(-8.5%),27.192051027067627,-216.83,0,,-0.0139,0.0477,-0.0581,39.432734121575294,15.17385060558764,-0.18150095145732026,0.1260068210046139,0.040306996638702214,2.5212924676249893,-1.4314577166903149,-0.11037149041195608,0.046808188764537705,-0.09410030585427775,-0.13031040385458958,-0.018113991766128865,-0.08696562550819081,0.8583399212217758,3,-0.09556235771483407,-0.5334063942003596,-0.6227711666927732,-0.29350580957439776,0.43997537074026505,0.7152665062317611,6.0,1.0,5.5,,Unknown,,-0.04830940908603282,bear,-0.15524251318406826,0.6,0.95,0.618,0.2,0.11,0.0
ADI,2022-09-29,2022-10-11,134.63052169181188,131.5780403740375,-0.0227,12,📉 바닥반등,★★★★★ (7.0),0.4774,Information Technology,트레일링(-7.2%),16.111524176316003,-49.18,0,,0.0103,0.048,0.0815,38.15984939075346,31.96292901872919,-0.27447100756191833,0.24570077559432985,0.029563676126483612,0.041324191225664116,-0.20899783831749633,0.021083665948923167,0.08433096845648286,-0.026003561731182012,-0.05336197358115291,-0.035180931908195705,-0.02646861692165206,0.9715490477776165,2,0.04010471382538518,-0.3316980400733569,-0.22438127798647656,0.010669171799325437,0.09455320787463531,0.6723515165316262,7.0,5.0,6.0,,Information Technology,,0.04260506808650995,bear,-0.0898662921597763,0.7,0.7,0.619,0.2,0.27,0.0
PFE,2022-10-14,2022-10-27,35.16070866840735,37.55449337535887,0.0681,13,📉 바닥반등,★★★★★ (6.5),0.4534,Health Care,"시간익절(12일,+7.4%)",60.99174115224862,146.0,0,,0.0253,0.0431,0.0834,39.81644700077737,36.541118674857636,-0.02995768886976735,0.3171095636159069,0.023510937714657537,0.7594809616886647,0.7408771814442472,-0.21198583359738704,0.14974556959588367,-0.002552658985579881,-0.06443192092232441,-0.04287888634431972,-0.0452303401806391,0.8439311223789441,3,0.011222144120913255,-0.5971578480526685,-0.1408978064563317,-0.10714109355721016,0.4778771925122248,0.5696848476759104,6.5,3.0,6.0,,Health Care,,-0.046022994575540654,bear,-0.1031502917094976,0.65,0.7,0.629,0.2,0.17,0.0
CMG,2022-10-27,2022-11-03,29.803800582885742,28.074600219726562,-0.058,7,📉 바닥반등,★★★★★ (6.5),0.4671,Consumer Discretionary,트레일링(-6.4%),74.40371184461586,-128.66,0,,0.0479,0.0642,0.1433,39.984009110459255,18.603916486360614,0.08301191430806465,0.09292700692157763,0.03430341730895338,3.6374796579658626,0.16680129068228422,-0.11900409844348094,0.41278319423560894,-0.033512139847000966,-0.05781314071377153,-0.008354730567221415,0.014747809986697882,1.0464442516185979,4,0.04632946322675001,-0.3049022388337683,-0.0776441508346061,0.01153155873586617,-0.15358908311458006,0.7149710697182268,6.5,6.0,5.5,,Consumer Discretionary,,-0.052348295269399506,bear,-0.036332607346372656,0.65,0.95,0.606,0.05,0.16,0.0
DVN,2022-11-03,2022-11-10,58.26213887899327,59.09840008492595,0.0144,7,📈 모멘텀,★★★★★ (9.5),0.4563,Energy,트레일링(-7.3%),36.956829411024536,30.91,0,,0.0356,-0.0029,-0.1114,42.508884839523354,27.72867133361753,-0.2409465640328916,0.09514416744386503,0.05205136537618329,4.212297279173334,-2.2058494708888983,-0.10468285282075511,0.7592793969853027,-0.12324484229898136,-0.04853269924782455,0.049405543336598454,0.15783374473979334,1.0843098778068057,3,0.11645188705210963,0.12504283528582547,0.4030794354287423,-0.31011864439078696,-0.2738608074149362,0.6471810755956662,6.25,9.5,6.0,,Energy,,-0.15108315112240694,bear,0.13289198384318984,0.95,0.65,0.558,0.05,0.22,0.0
CI,2022-11-16,2022-11-28,287.262319293748,303.1103140359524,0.0552,12,📈 모멘텀,★★★★★ (10.0),0.4533,Health Care,"시간익절(9일,+5.8%)",7.549325349629761,119.64,0,,0.0169,0.0539,0.0378,45.928697585642034,37.673623606811944,-2.623469520197421,0.2780369809179203,0.03049543614523344,0.14820943348989019,-1.104751199331708,0.05693499809611428,0.8379287392508653,-0.06886563288876879,0.038912037019095624,0.034322022367410256,0.10776953521805357,1.2734969014328137,2,0.10681607260519038,0.3373237810588008,0.38660280550313797,-0.061762799595038026,-0.7219262946580773,0.4288019969513687,5.75,10.0,6.0,,Health Care,,-0.031309848489260134,bear,0.1198658538006232,1.0,0.6,0.553,0.05,0.22,0.0
ELV,2022-11-14,2022-12-02,468.8598647248114,496.08822762852185,0.0581,18,📈 모멘텀,★★★★★ (9.0),0.4543,Unknown,"시간익절(17일,+6.1%)",4.625340900762686,125.94,1,2022-11-30,0.0051,-0.0387,-0.0384,40.04631606960013,27.454738231331195,-4.400721735005778,0.16076761002665033,0.031855807475888856,2.944631289533546,-0.4580550534861867,-0.009038712580096003,0.6423487858903211,-0.0670262228372126,0.04373691666220836,0.030490717526478132,0.05161142001219831,1.240006966198783,3,0.1269384802831675,0.1934121695183591,0.1581745539014532,0.07732636930094516,-0.6640497516991113,0.6844850301441772,6.5,9.0,6.0,,Unknown,,-0.10052411478188894,bear,0.032972237309579974,0.9,0.65,0.563,0.05,0.27,0.0
MCD,2022-11-30,2022-12-20,250.1483530135692,247.64341430981636,-0.01,20,📈 모멘텀,★★★★★ (8.5),0.4789,Consumer Discretionary,"장기보유(19일,-1.4%)",9.147685163298782,-22.91,0,,-0.0068,-0.0178,0.0062,55.03469082436271,27.842313183001103,-1.032206077232968,0.2736185614354328,0.015461048649052058,-0.3641633603692269,-0.023958577282773032,-0.07039231487960293,0.8811743003914541,-0.011328951568310264,-0.004584573244653778,0.02778699748534011,0.042567520910565204,0.8506752841273261,2,0.11704807515703378,0.16422115714368452,0.20187861519816264,-0.1881569309166322,0.4603450646831709,0.10907796857673388,6.5,8.5,6.0,,Consumer Discretionary,,-0.02719367140706092,bear,0.07404854622141785,0.85,0.55,0.559,0.2,0.37,0.0
BLK,2022-12-20,2023-01-10,639.2359811584977,693.4738343181906,0.0848,21,📉 바닥반등,★★★★★ (7.5),0.4585,Unknown,"시간익절(20일,+9.0%)",3.5438618188622684,192.21,0,,-0.003,0.0022,-0.0264,46.69603865511676,17.31118019768822,-4.956622194371663,0.024383478803500978,0.027633265755052722,-0.4857494458236258,1.0862789346864756,0.310274104151866,0.4464978195002927,-0.0236314100247369,-0.03242554564520961,0.031689177904698176,0.0044565655410886825,0.9012161986793931,3,0.2658410747629195,0.13621595898324235,-0.199650646568357,0.4970113776272496,0.3178730812141729,0.5329710284550204,7.5,7.0,6.0,,Unknown,,-0.0024843989137669255,bear,0.018353574711485576,0.75,0.5,0.68,0.2,0.37,0.0
WFC,2022-12-19,2023-01-24,38.03571113447326,41.3203605909352,0.0864,36,📉 바닥반등,★★★★★ (8.5),0.5724,Financials,"시간익절(35일,+8.9%)",60.32691650025195,198.15,0,,0.0436,0.0785,0.031,28.595037973122757,26.79705948130816,-0.44492425167581073,0.12353104153971017,0.02744697997041018,1.352776383562066,-2.144622789309559,-0.06569763770207446,0.20229113820472958,-0.03082341888754969,-0.10437046287304463,-0.012156058971229062,-0.002816376556505822,0.9014577427924912,3,0.0202923237126737,-0.405006234676526,-0.16049224003253465,-0.3546575916422182,0.31714910374695493,0.8724202550149855,8.5,5.0,5.5,,Financials,,-0.03675814361270953,bear,-0.07545980067118387,0.85,0.95,0.659,0.2,0.26,0.0
CI,2023-01-13,2023-02-02,291.3748709365547,291.8738570330453,0.0017,20,📈 모멘텀,★★★★★ (7.0),0.4258,Health Care,"장기보유(19일,+1.2%)",4.217205546794353,2.1,0,,-0.0596,-0.0341,-0.0743,39.99167334075153,29.182762872544906,-2.4867116612169413,0.25358846374119776,0.02109848955406453,-0.25836562976061256,-0.23991133295060701,0.03967796918182293,0.767876240195029,0.019823179261262203,-0.06065104727940551,0.0014002260303325213,0.10104991437217348,0.8975604339428487,3,0.22337019318335521,-0.004266625113521272,0.2231165055636044,0.021250523367678006,0.3287848543806531,0.6248492904716055,6.75,7.0,8.0,,Health Care,,-0.027322939967068617,neutral,0.07678817562755595,0.7,0.35,0.612,0.2,0.26,0.0
CVS,2023-01-23,2023-02-08,77.47537131617034,76.5670394897461,-0.0117,16,📉 바닥반등,★★★★★ (6.0),0.4588,Health Care,교체→EL,15.860365701192318,-14.41,0,,0.0276,0.0104,-0.1044,26.101584455493295,34.249067100032754,-0.18017195761590576,0.049072234781078965,0.01947042813980351,1.6283234920708693,-2.1560825291561274,-0.2443964123527566,0.013300947585931007,-0.01770706756281204,-0.07788536190916384,-0.030260170268333615,-0.01590375421414199,0.832339943357608,3,0.028140462119104898,-0.3958123961379283,-0.11112791411201978,-0.5173044292073564,0.5071362023387442,0.9139210056006098,6.0,2.0,5.5,,Health Care,,-0.07505834199245395,neutral,-0.08483153670891368,0.6,0.95,0.682,0.2,0.11,0.05
SBUX,2023-02-06,2023-02-16,96.08636515567794,100.05913764851906,0.0413,10,📈 모멘텀,★★★★★ (11.0),0.6524,Consumer Discretionary,"시간익절(9일,+5.3%)",12.810267584269054,50.89,0,,-0.0572,-0.0298,-0.0841,46.24265908146392,32.67962462010796,-0.23408895110113903,0.13024086045244337,0.021845795420713385,3.3355547039803333,-0.23579222054455487,0.1848469920881636,0.8619249163417675,-0.04329485524550325,-0.001245027599363846,0.03587003742200088,0.0899430836579827,0.7742007553966528,3,0.49166902459920697,0.4089754029953564,0.49565071847629716,0.4493749732510646,0.6367356570131832,0.5144485422006632,6.25,11.0,6.0,,Consumer Discretionary,,-0.16741897536561898,neutral,0.10721460808601874,1.0,0.85,0.746,0.35,0.22,0.0
ISRG,2023-02-16,2023-02-24,240.77000427246094,234.89999389648438,-0.0244,8,📉 바닥반등,★★★★★ (7.5),0.4985,Health Care,교체→BKNG,5.32368777166379,-31.25,0,,-0.0001,-0.0432,0.0916,43.682327350128446,15.678482899766461,-0.4418845335766557,0.2844842705355514,0.02709279577303289,-0.5634033555127326,-1.0771565038194646,0.10446285615390448,0.5038373708241713,-0.01639542588300158,-0.045172621631920706,-0.01121497629721567,0.01841637242096593,0.7919078775872701,2,0.08016751668857686,-0.2556012666297555,-0.24926533422542,-0.0324389324307774,0.6003155721738807,0.49601617070612103,7.5,3.0,6.0,,Health Care,,-0.021551049128043568,bull,-0.014227724311967544,0.75,0.45,0.647,0.35,0.27,0.0
EL,2023-02-08,2023-02-27,243.43608652067118,231.1946634369361,-0.0503,19,📈 모멘텀,★★★★★ (9.0),0.5956,Unknown,손절(-5.9%),4.988501352949118,-61.07,0,,0.03,-0.0385,-0.0102,47.51782147977245,30.43318895443537,-2.1839522026932023,0.18514658343571994,0.02810630038834442,1.737526217743974,-2.423749903760254,0.13377883885067357,0.561763885571856,-0.05799740207348525,-0.0023695333456420498,0.043561463721534535,0.010134253336710676,0.8128581138786571,3,0.2681252609826998,0.26392317981988905,0.16329386166519413,0.044928783884719686,0.5537726254878199,0.4419188144566514,7.5,9.0,6.0,,Unknown,,-0.05969595065506607,neutral,0.03335888574813552,0.9,0.85,0.634,0.2,0.37,0.0
SCHW,2023-01-24,2023-02-28,73.63460912897064,74.80156929310611,0.0158,35,📉 바닥반등,★★★★★ (7.0),0.5235,Financials,"장기보유(34일,+1.2%)",33.85269471266759,39.5,0,,-0.0411,-0.2748,-0.311,38.63823761604656,20.292248760117953,-0.8638627776786751,0.050656627297486476,0.027968039409830024,0.140068258065196,-0.23775989359498917,0.09665505638934296,0.5279103356487004,-0.0632681911095122,-0.04332302894189233,0.013096326224513472,0.055596158991105274,0.885260845278832,2,0.289983563875817,0.16803926219340012,0.04548153508685038,0.1630876414125095,0.364845265995023,0.7589035208369301,7.0,7.0,6.0,,Financials,,-0.1190793799553065,neutral,0.025006936299720704,0.7,0.75,0.72,0.2,0.27,0.0
