ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,defer_count,last_defer_date,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
F,2022-06-15,2022-06-17,9.327833771423476,8.579775074050819,-0.0802,2,📉 바닥반등,★★★★★ (6.5),0.459,Unknown,손절(-7.9%),269.8171755014094,-201.84,0,,0.0712,-0.0036,0.1201,38.07476238760548,27.51633758278126,-0.0444596963441386,0.10606665267848096,0.049007241684639796,1.8348512983078689,-0.6501489709812744,-0.008267591642133774,0.02980388120610256,-0.11208144791442753,-0.06513403139045526,-0.06591006399569789,-0.10300113335342719,1.25472626724919,3,-0.16919905698451967,-0.7201942584322774,-0.35007818342916475,-0.00859065800585418,-0.6905924882607337,0.7529598456417115,6.5,2.5,6.0,,Unknown,,0.01152593565975385,bear,-0.2240754254188035,0.65,0.95,0.51,0.05,0.17,0.0
MPC,2022-06-17,2022-06-24,84.46277977914023,79.0860259889781,-0.0637,7,📈 모멘텀,★★★★★ (9.5),0.5285,Energy,손절(-7.8%),28.603015738437925,-153.79,0,,-0.0165,-0.0264,0.0338,36.76539342263573,33.70281830473832,-1.6764278554019874,0.043829874545268224,0.04416486491760024,2.595628102292845,-1.607781694719612,-0.12281900645931162,0.6634113723567064,-0.17403008689389754,-0.04396629458039236,0.061781691364008455,0.2186653424297806,1.5304521295589713,3,0.05925137393884222,0.26562045271016277,0.3498118898618699,-0.32779396352459317,-0.9434089211394212,0.7981236723824858,6.75,9.5,6.0,,Energy,,0.029161848014178773,bear,0.1708459317704002,0.95,0.65,0.53,0.3,0.22,0.0
DAL,2022-06-27,2022-07-01,30.396467899221598,28.35904577238008,-0.067,4,📉 바닥반등,★★★★★ (6.0),0.4541,Industrials,손절(-7.5%),74.41979290334518,-151.62,0,,0.0021,0.0653,0.1026,36.80879302559936,33.987905821570074,-0.45571711274344606,0.26946301718578075,0.05615986309129793,0.15298185320610297,-1.249636980069752,-0.07248463206248217,0.10366658978593023,0.054766943639911414,-0.19170960468367315,-0.07658830081046514,-0.06672319344471325,1.5320690861736643,2,-0.31648842604372246,-0.7836490316097469,-0.3121999339303976,-0.3661417457064706,-0.9439986907253013,0.6790830354985963,6.0,1.0,6.0,,Industrials,,-0.15645462615986125,bear,-0.20852457565473717,0.6,0.7,0.436,0.3,0.17,0.0
MSFT,2022-06-21,2022-07-08,242.6592962620597,256.74802329517996,0.0581,17,📉 바닥반등,★★★★★ (6.0),0.5266,Technology,"시간익절(16일,+7.2%)",9.955893949045025,140.27,0,,-0.0305,-0.0167,0.0684,39.33667422955091,26.744837095953446,-1.6679273682326983,0.181858755855048,0.03406766838382248,1.5976604157005445,-0.09135255759820554,0.07519004584788831,0.054254180840405355,-0.021107772884476628,-0.021687589301655485,-0.0386828143135513,-0.059936933514757915,1.5977769722356467,4,-0.14725562076739296,-0.47205943820660357,-0.5634821855726648,0.2656643667059919,-0.9635002938894578,0.6898082819769069,6.0,2.0,6.0,,Technology,,0.043227102210542406,bear,-0.13586859429167714,0.6,0.85,0.486,0.4,0.17,0.0
MRK,2022-07-01,2022-07-21,81.50857920589446,79.58914313998541,-0.0235,20,📈 모멘텀,★★★★★ (11.0),0.5569,Healthcare,트레일링(-5.6%),25.892664721659003,-49.7,0,,0.0089,-0.0261,0.0252,55.49198086960108,27.441292213324328,0.4863168117928199,0.6970879197020102,0.02279156658039896,0.9133981907729887,0.8849148484344574,-0.024161531832039174,0.8682983087822781,-0.009021493112844281,0.00851619690162675,0.01906059110249673,0.0786736551490491,1.1136827616594172,4,0.07714096220307357,0.33929748140375293,0.5396500031381933,0.18422597873532998,-0.36178877052460534,-0.45218356905228696,4.25,11.0,6.0,,Healthcare,,0.090428015311848,bear,0.11546576537224035,1.0,0.6,0.539,0.4,0.22,0.0
LIN,2022-07-12,2022-07-29,261.4931972310857,284.47946196129635,0.0879,17,📉 바닥반등,★★★★★ (6.0),0.4904,Basic Materials,"시간익절(16일,+8.0%)",9.77522979037515,224.7,0,,0.0095,0.0415,-0.0431,35.16494338319377,29.140010605541043,-1.6631197819532808,0.19221443019595624,0.028323917731285175,-0.350056489056631,0.07326426957842125,0.30420914428783546,0.10487111322952895,-0.030374025359072965,-0.131538583529471,-0.035876548228738814,-0.018837865301842654,1.651442677515399,3,-0.13601529905389736,-0.6905217575358038,-0.4272576777608297,0.32369169598008773,-0.9743373426234274,0.7638413270196075,6.0,3.0,6.0,,Basic Materials,,-0.07649699441535446,bear,-0.09725063437552708,0.6,0.7,0.499,0.4,0.17,0.0
WMT,2022-07-27,2022-08-12,38.56796897395863,41.53473901135159,0.0769,16,📉 바닥반등,★★★★★ (6.0),0.526,Consumer Defensive,"시간익절(15일,+7.5%)",53.432292486006176,158.52,0,,0.054,0.0123,0.0621,38.05371729149359,26.687084018335856,0.0863414400407197,0.18432592937778555,0.024977861139036796,4.298062274041685,-0.7611894417220698,0.20863337347149005,0.08999793221829107,-0.05850552601142378,-0.017241340998126797,-0.013421681643976426,-0.05537527145184675,1.3854911257652143,3,-0.028832612621762593,-0.4348905500636296,-0.26591993506629796,0.38694269452166563,-0.8578035775849646,0.7163217370577561,6.0,4.0,6.0,,Consumer Defensive,,-0.018055340407078718,bear,-0.10683784629997184,0.6,0.95,0.53,0.3,0.17,0.0
VZ,2022-08-01,2022-08-24,36.02148172623488,33.88929748535156,-0.0592,23,📉 바닥반등,★★★★★ (6.0),0.4666,Communication Services,트레일링(-6.1%),77.19982571645934,-164.6,0,,-0.04,-0.0512,-0.0831,36.598514906625795,26.294230563817443,-0.363337537425516,0.24321809841965858,0.024021294186298992,0.2445253980241522,-0.44012327580218785,0.14409810384088412,0.17617453411987186,0.03914488155404783,-0.07840157527525216,-0.023163966937083932,-0.029419343435613227,1.525062853365105,3,-0.09991348288094501,-0.4022061106150373,-0.3387557896023758,0.19430034565610643,-0.941399378705608,0.7045685877717609,6.0,3.0,8.0,,Communication Services,,-0.11984184945702156,bear,-0.08493865825201893,0.6,0.7,0.501,0.3,0.21,0.0
MRNA,2022-09-02,2022-09-07,140.36000061035156,129.67999267578125,-0.0761,5,📉 바닥반등,★★★★★ (6.5),0.5278,Healthcare,손절(-7.3%),17.225506418066487,-183.97,0,,0.075,-0.0302,-0.0313,38.63890008759881,21.443347950696623,-2.4558876832815226,0.2654889551605756,0.05803265070894209,2.024147140251667,-0.8716023990038445,-0.259508984663321,0.06440567505860992,-0.021823344152876234,-0.2844268092014792,-0.032042146448854225,-0.13353574762491346,0.7745255121399776,3,-0.10163821807952866,-0.47440146630814267,-0.724620447077835,-0.34571693662761926,0.6360915804120895,0.6459083084637913,6.5,1.0,6.0,,Healthcare,,-0.2503410444445508,bear,-0.21981138243112186,0.65,0.7,0.623,0.45,0.17,0.0
NOW,2022-09-09,2022-09-16,91.61599731445312,86.29399871826172,-0.0581,7,📉 바닥반등,★★★★★ (6.0),0.574,Technology,트레일링(-8.6%),25.386263173664595,-135.11,0,,-0.1262,-0.1248,-0.2079,47.30650825654121,18.56070749191172,-0.4187599658095811,0.3891142526997566,0.036373737985172225,0.325233183018368,-0.2940987440553849,-0.025598590864260938,0.1330662377394135,0.03715884673654335,-0.1267531848695299,-0.019765926575082082,-0.08818206497198824,0.774580941283932,3,-0.13387471129584655,-0.6707090779505676,-0.6193113850426142,-0.09055920224722794,0.6359815614181055,0.2568597382594046,6.0,0.75,6.0,,Technology,,-0.09773345464828138,bear,-0.11130868273035437,0.6,0.5,0.56,0.7,0.42,0.0
