ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
NOW,2022-09-09,2022-09-16,91.61599731445312,86.29399871826172,-0.0581,7,📉 바닥반등,★★★★★ (6.0),0.469,Unknown,트레일링(-8.6%),26.477478542127564,-140.91,-0.1262,-0.1248,-0.2079,47.30650825659838,18.56070749230061,-0.41875996581349706,0.38911425269975763,0.03637373798517808,0.32523318301837173,-0.29409874405538444,-0.025598590864261004,0.1330662377394135,0.03715884673654335,-0.1267531848695299,-0.019765881096145917,-0.0864991539325324,0.7745809400792042,3,0.25685973825737307,-0.6707090779505676,-0.6181161559767434,-0.09055920224722767,0.6359815638096004,0.25685973825737307,6.0,2.75,6.0,,Unknown,,-0.09773344231520181,bear,-0.10966841438700303,0.6,0.5,0.56,0.35,0.42,0.0
SNPS,2022-09-13,2022-09-23,329.6700134277344,304.6199951171875,-0.076,10,📉 바닥반등,★★★★★ (7.8),0.4521,Information Technology,트레일링(-6.9%),7.358147554238476,-184.32,0.0029,0.0078,-0.0267,42.872172951278216,28.868727752401252,-2.7322528004882787,0.3169354305068519,0.026261090108567153,-0.8226391786752979,-0.8636059494910745,-0.18017499057886036,0.6073907993828679,0.027226524886468484,-0.11903280560451712,0.00860513173266053,0.0649455096029274,0.7760163550592588,3,0.4267554901957545,-0.10052227629489079,0.17697671054268102,-0.5215195069608807,0.6331234583512677,0.4882354397718058,7.75,7.5,6.0,,Information Technology,,-0.0275344858571554,bear,0.05250592128061218,0.775,0.35,0.641,0.35,0.27,0.0
NOW,2022-09-19,2022-09-23,84.55999755859375,76.58599853515625,-0.0943,4,📉 바닥반등,★★★★★ (6.0),0.4958,Unknown,손절(-8.5%),27.02043005374888,-215.46,-0.0139,0.0477,-0.0581,39.432734121610686,15.173850605841759,-0.18150095145977918,0.12600682100462418,0.0403069966387062,2.5212924676250035,-1.4314577166903113,-0.11037149041195614,0.046808188764537705,-0.09410030585427775,-0.13031040385458958,-0.01811395575403012,-0.08536874431569813,0.858339919886722,3,0.4512215725868477,-0.5334063942003596,-0.6215317682013272,-0.29350580957439676,0.4399753743289862,0.7152665062309377,6.0,3.0,5.5,,Unknown,,-0.04830941114560516,bear,-0.15376501604007137,0.6,0.95,0.618,0.2,0.11,0.0
ADI,2022-09-29,2022-10-11,134.63053704839177,131.57802502070547,-0.0227,12,📉 바닥반등,★★★★★ (7.0),0.4774,Information Technology,트레일링(-7.2%),16.009835446953186,-48.87,0.0103,0.048,0.0815,38.159832918739276,31.962995914499515,-0.2744716765694948,0.24569998824054545,0.029563653023002328,0.041324191225664116,-0.20899783831749633,0.021083665948922765,0.08433054394065376,-0.026003670839477078,-0.0533620796247245,-0.03518096215524621,-0.02684847740812375,0.9715483031239671,2,0.4950290591318206,-0.3316987932907137,-0.2253948752721197,0.010669171799324514,0.0945556678614434,0.6723524779668911,7.0,5.0,6.0,,Information Technology,,0.04260495541511512,bear,-0.09022152895276085,0.7,0.7,0.619,0.2,0.27,0.0
PFE,2022-10-14,2022-10-27,35.160701033672815,37.55449719589407,0.0681,13,📉 바닥반등,★★★★★ (6.5),0.4534,Health Care,"시간익절(12일,+7.4%)",60.60680174173244,145.08,0.0253,0.0431,0.0834,39.81639907391934,36.54119283935173,-0.029957480250716984,0.31710915527119327,0.02351094430276485,0.7594809616886498,0.7408771814442283,-0.21198583359738574,0.14974556959588367,-0.002552766975214671,-0.06443192744864812,-0.04287890886757157,-0.04412549923445377,0.8439322818724785,3,0.1418201789548926,-0.597158070139128,-0.1394643230497874,-0.10714109355721402,0.4778742101602985,0.5696864229342548,6.5,3.0,6.0,,Health Care,,-0.04602301667618866,bear,-0.10211253742611325,0.65,0.7,0.629,0.2,0.17,0.0
CMG,2022-10-27,2022-11-03,29.803800582885742,28.074600219726562,-0.058,7,📉 바닥반등,★★★★★ (6.5),0.4671,Consumer Discretionary,트레일링(-6.4%),73.93412109395183,-127.85,0.0479,0.0642,0.1433,39.98400911046024,18.603916486232777,0.08301191430805449,0.09292700692158141,0.03430341730895342,3.6374796579658617,0.1668012906822843,-0.11900409844348094,0.41278319423560894,-0.033512139847000966,-0.05781314071377153,-0.008354729450016925,0.014893296929119821,1.046444251618546,4,0.23732497606823916,-0.3049022388337683,-0.07668540796497975,0.011531558735866199,-0.15358908311441105,0.7149710697182017,6.5,6.0,5.5,,Consumer Discretionary,,-0.052348257519312054,bear,-0.036194442845846296,0.65,0.95,0.606,0.05,0.16,0.0
DVN,2022-11-03,2022-11-10,58.26214252380079,59.098388712173126,0.0144,7,📈 모멘텀,★★★★★ (9.5),0.4563,Energy,트레일링(-7.3%),36.72357819588008,30.71,0.0356,-0.0029,-0.1114,42.508850470200315,27.728696310202757,-0.24094789190681665,0.09514322190422171,0.05205139185556003,4.2122972791733355,-2.2058494708889174,-0.10468285282075566,0.759279323356132,-0.12324511574208563,-0.048532827130304934,0.04940553347744306,0.15767787332043096,1.0843116534725716,3,0.49990047073142363,0.12504218108351633,0.40307552753908416,-0.3101186443907891,-0.2738662823770346,0.6471824022703754,6.25,9.5,6.0,,Energy,,-0.15108335680865953,bear,0.13273926536807404,0.95,0.65,0.558,0.05,0.22,0.0
CI,2022-11-16,2022-11-28,287.2622583660603,303.1103140359524,0.0552,12,📈 모멘텀,★★★★★ (10.0),0.4533,Health Care,"시간익절(9일,+5.8%)",7.501679250293614,118.89,0.0169,0.0539,0.0378,45.92870442476206,37.673643997556326,-2.623472167486111,0.27803715998904666,0.030495435026530533,0.14820943348989019,-1.1047511993316967,0.056934998096114964,0.8379289160232462,-0.06886554048522231,0.038912037019095624,0.0343220240505932,0.10876332584026498,1.2734967909854757,2,0.3396133807024531,0.3373241298483881,0.3868277628981422,-0.061762799595034945,-0.7219261183758231,0.42880160147552093,5.75,10.0,6.0,,Health Care,,-0.031309858520644024,bear,0.12087053530646968,1.0,0.6,0.553,0.05,0.22,0.0
ELV,2022-11-14,2022-12-01,468.8598647248114,507.3771198903845,0.0822,17,📈 모멘텀,★★★★★ (9.0),0.4544,Unknown,"시간익절(16일,+7.7%)",4.5961479860127605,177.03,-0.0094,-0.0471,-0.0397,40.046307590209324,27.454763091499693,-4.400730047361316,0.16076695702893856,0.03185582082203871,2.9446312895335462,-0.45805505348618947,-0.009038712580095233,0.6423480286949963,-0.06702617398007871,0.04373670842775912,0.030490719304941787,0.05250652461213976,1.2400071263715509,3,0.16958016433353792,0.1934107996300597,0.15952124709476906,0.07732636930094645,-0.6640500501745129,0.6844855710063973,6.5,9.0,6.0,,Unknown,,-0.10052430833007664,bear,0.03385133320858203,0.9,0.65,0.564,0.05,0.27,0.0
WFC,2022-12-05,2022-12-08,42.04722124589405,39.296204214910304,-0.0654,3,📉 바닥반등,★★★★★ (7.5),0.6075,Financials,손절(-7.1%),27.73049274880282,-76.29,-0.0314,-0.0475,-0.0075,47.5368883224704,19.91986632593089,-0.17025002191789174,0.07801983049290512,0.02452072307353769,2.197096835962131,-0.5574319696518426,0.049074422885208975,0.428181816927088,-0.03161911114385574,0.008783178410240344,0.026559217390557804,0.015813008309530602,0.7954008760082549,3,0.12993021584849607,0.17629492452585827,0.08695725147253079,0.15803030729813505,0.5928161730951466,0.4885575400080748,7.5,6.5,6.0,,Financials,,-0.05206245694101361,neutral,0.02743737169452712,0.75,0.75,0.697,0.35,0.52,0.0
