ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
ETN,2025-02-27,2025-03-04,296.5239609314699,269.5510545951824,-0.091,5,📉 바닥반등,★★★★★ (6.0),0.4163,Unknown,손절(-7.3%),11.241362495166806,-303.21,0.0374,0.068,0.0168,36.947747837499975,27.15152822369456,-1.2771949362603596,0.1782451683679954,0.034812381896879054,0.5167464945471678,-1.8834389348930671,0.07491597221464573,0.24199620571691866,-0.03903963142261324,-0.04899745235439901,-0.045626778412181136,-0.00773054746500341,,2,-0.19514176314202594,-0.4737993162327266,-0.44848998995321243,-0.09017641216396251,-0.9095733287321053,0.7414810022298416,6.0,1.0,8.0,,Unknown,,-0.03796957674641931,neutral,-0.09387474119723484,0.6,0.75,0.482,0.05,0.21,0.0
WMT,2025-02-26,2025-03-10,96.57547804367272,88.72687739328184,-0.0813,12,📈 모멘텀,★★★★★ (8.0),0.4552,Consumer Staples,손절(-6.1%),34.51531797570762,-270.9,-0.0256,-0.0226,-0.0635,48.345320698803924,31.851855581602827,-1.124421537968252,0.29369217325745195,0.023600061872358972,0.9563737871373814,-1.4285330250848725,0.18573353543703924,0.8423949053934094,-0.05868176062535968,0.002977382652983973,0.03183127559123051,0.15506866724579463,,3,0.09568108807337737,0.3561299058679985,0.3457648193406462,0.12749714412302354,-0.948948488423238,0.32885065132189134,5.0,8.0,6.0,,Consumer Staples,,-0.0711195930582525,neutral,0.176219503033908,0.8,0.6,0.548,0.05,0.27,0.0
BSX,2025-02-28,2025-03-10,101.12999725341797,97.7699966430664,-0.0332,10,📈 모멘텀,★★★★★ (7.0),0.4141,Health Care,트레일링(-5.5%),32.96087633603366,-110.75,0.0116,0.0501,-0.0637,42.677194722875555,30.251669172246473,-0.9942788653778794,0.0014781644708929537,0.021766104023213433,0.6160835203562293,-1.658243284209467,0.07960039392200317,0.8615187267767407,-0.04328015880958269,-0.018596008662642327,0.03720251414972361,0.1334714172832515,,3,0.11516341133243428,0.24797605225844171,0.32527384291129324,-0.05130871204808135,-0.8013692177315506,0.667729964851201,4.5,7.0,6.0,,Health Care,,-0.03189280874507032,neutral,0.1500997405452773,0.7,0.55,0.558,0.05,0.22,0.0
BA,2025-03-06,2025-03-11,161.4199981689453,148.0,-0.0831,5,📉 바닥반등,★★★★★ (6.5),0.4456,Industrials,손절(-8.2%),18.771658716583303,-251.92,0.0917,0.2337,-0.0582,35.7979091677435,24.786993931221986,-2.5741871589948424,-0.015973806629835333,0.03762376126391176,0.15456567896403953,-1.6369758851635097,-0.19080656288284278,0.4695946855423543,-0.05709656731023005,-0.07416440096631782,0.006103142248162346,0.024450522349294738,,2,-0.13532135765338282,-0.23843936272831767,-0.0643448509891821,-0.555852043843516,-0.6761662249448765,0.8281171489636379,6.5,4.5,6.5,,Industrials,,-0.01680108150890426,neutral,-0.036905755768500643,0.65,0.75,0.524,0.05,0.28,0.0
BSX,2025-03-10,2025-03-25,97.7699966430664,102.86000061035156,0.0521,15,📈 모멘텀,★★★★★ (8.0),0.4611,Health Care,"시간익절(14일,+5.0%)",32.14187056737002,163.6,-0.0157,-0.1188,-0.0383,39.71856149061892,31.207300237870204,-0.7678389581117268,-0.07288480392190913,0.025118041603269043,1.6605330705841501,-1.8658950862973727,0.15779386861231057,0.8185327328531561,-0.044898387330221334,-0.05608455130375689,0.027431880659235436,0.13027566841983879,,3,0.12116357666363606,0.047582334268488485,0.37153375768401575,0.1068990844366485,-0.9398222450384242,0.7579446195986835,5.75,8.0,6.5,,Health Care,,-0.09630937191256791,neutral,0.11977696140422184,0.8,0.65,0.561,0.05,0.23,0.0
KO,2025-03-26,2025-04-04,66.97839198338484,70.37978789668131,0.0508,9,📈 모멘텀,★★★★★ (8.5),0.4439,Consumer Staples,"시간익절(8일,+6.2%)",24.680443410747007,83.95,-0.0137,0.0048,-0.0099,49.89317067594023,31.99671450629192,-0.3780132285522114,0.17169443979404655,0.016904512375566384,-0.9875593576601295,-1.6065081940042507,0.0006138996569090367,0.8066835954338669,-0.008215705057919687,-0.030384922067761888,0.024426712563322572,0.04207462532031613,,2,-0.02156740280407317,0.02579322176902477,0.3835105513681972,-0.3443557946339029,-0.599894011155429,0.3632244645013626,7.0,8.5,6.0,,Consumer Staples,,0.0273376098190016,neutral,0.06156861793358553,0.85,0.7,0.489,0.05,0.37,0.05
PGR,2025-03-21,2025-04-07,258.4272994822171,237.390715668818,-0.0814,17,📈 모멘텀,★★★★★ (10.0),0.4538,Consumer Staples,손절(-6.4%),22.910567418344232,-481.96,0.1019,0.0486,0.1221,51.265589557913714,40.37397164363616,-1.55875201823841,0.2900864869169015,0.025494258841338296,0.4192105349340476,-0.6883358631236945,0.10645917630728807,0.8214118832104534,-0.017108277256182913,0.02596457135222785,0.039645855675228964,0.09133121707151247,,2,0.11640150858689366,0.35860584584022226,0.43131405132215817,0.11590843989143654,-0.7711811950526142,0.22558799219725273,4.75,10.0,6.0,,Consumer Staples,,0.059109969641791875,bear,0.12767284827105205,1.0,0.6,0.558,0.05,0.22,0.0
XOM,2025-04-10,2025-05-07,100.26496187453732,101.50244532429048,0.0123,27,📉 바닥반등,★★★★★ (7.5),0.467,Unknown,"장기보유(26일,+1.0%)",44.027428008202016,54.48,0.0332,-0.0036,-0.0212,39.70953904445406,31.82099170464034,-1.7585258584288623,0.1670066024145447,0.036292501714769665,1.2125934176986455,-1.663422011218481,0.06199792713458181,0.22379641395137026,-0.10845192304559137,-0.03051405543613439,-0.0005759571688629929,-0.01172993293865939,,3,-0.10541175467372513,-0.2532935868948854,-0.16746894721391764,-0.03972304836123186,-0.9946017525903958,0.6893088856345142,7.5,4.0,6.0,,Unknown,,0.0014802531060302757,bear,-0.05965184452823854,0.75,0.85,0.49,0.05,0.27,0.0
CI,2025-05-16,2025-06-12,302.9889072438351,306.0818246674944,0.0102,27,📉 바닥반등,★★★★★ (9.0),0.573,Health Care,"장기보유(26일,+0.7%)",9.772965040926945,30.23,0.0106,0.049,-0.0257,35.63782955173431,29.154551657453307,-4.039287893777716,0.05932778781647702,0.03012501572139614,1.1494503451825622,-0.6230555594061461,-0.11195674938916655,0.44910280429005944,-0.07279872311893976,-0.062469652803955555,0.006097311455170626,0.006027156015852926,1.2457623271704261,3,-0.06587549303286044,-0.2476403887966024,-0.07556324622742347,-0.2509146966436496,-0.6746384417717874,0.8134483719931263,9.0,6.5,8.0,,Health Care,,-0.05346357641238582,neutral,-0.03524858502458085,0.9,0.85,0.543,0.05,0.56,0.0
INTC,2025-06-02,2025-06-12,19.479999542236328,20.5,0.0524,10,📉 바닥반등,★★★★★ (6.5),0.516,Information Technology,트레일링(-6.3%),152.0071903421985,155.05,0.0283,0.1068,0.1366,39.94793382931788,9.131414115943697,-0.15250958593334155,0.06387738647995599,0.04019342974090123,2.818054363831376,-1.9420360477926353,-0.0913074794112037,0.08595541636229687,-0.04866180229323647,-0.02152153728866668,-0.014967954451981732,-0.08928267229231011,0.9206711386773078,2,-0.12346930510768128,-0.46527171064736195,-0.6885107607092851,-0.3060575389399541,0.2584339402988828,0.7251824142690211,6.5,1.75,6.0,,Information Technology,,-0.10469223016080877,bull,-0.15148431337783425,0.65,0.95,0.597,0.2,0.17,0.0
CRM,2025-05-30,2025-06-17,266.7597249073496,262.58038330078125,-0.0157,18,📉 바닥반등,★★★★★ (6.0),0.4082,Unknown,교체→V,11.100251356576033,-46.39,0.0163,0.0218,-0.0136,41.231433159808965,17.728373753044096,-2.1311424537278416,0.05491268132733973,0.030477954658329975,3.917155337513115,-1.526321131647851,0.09090775957160677,0.33422690878932204,-0.05441387819207677,-0.006661246120055808,-0.0016901942493064432,-0.04057583202947344,1.1036116576285384,3,-0.06375758464752829,-0.306515642064056,-0.6434435405446893,0.14809272380144206,-0.33226499651705355,0.6952541020070915,6.0,1.75,6.0,,Unknown,,-0.054258664477046734,bull,-0.07844345497944197,0.6,0.65,0.561,0.05,0.17,0.0
V,2025-06-17,2025-06-23,351.44680457851234,335.5492476029829,-0.0452,6,📈 모멘텀,★★★★★ (8.5),0.5108,Financials,트레일링(-5.4%),8.293454992257905,-131.85,0.052,0.0505,0.0425,45.32988332579478,26.445500675278847,-1.8339987617387825,0.14561351573367298,0.02051739979580876,0.6341502537913437,0.41974974672753185,0.09363262923060309,0.853131545768882,-0.030491566954953697,-0.026402304545956712,0.022585008479636213,0.08458003248990408,1.3122525698753431,4,0.1235811564316889,0.0780010184961927,0.1742086805490367,0.3287314527231381,-0.7782203067715223,0.5384469972879342,7.0,8.5,6.0,,Financials,,-0.020473643278737363,bull,0.08863625585432616,0.85,0.75,0.562,0.05,0.27,0.0
TSLA,2025-06-12,2025-06-24,323.0799865722656,356.1700134277344,0.1024,12,📈 모멘텀,★★★★★ (8.0),0.4637,Consumer Discretionary,"시간익절(11일,+7.9%)",9.451954048517827,312.77,-0.1557,-0.1693,-0.0663,52.4340633742699,27.410407422850415,-5.468417029064733,0.37388149412763977,0.05890724451838799,0.051853410886901506,1.6908858200468229,-0.04766792736628553,0.503783952905018,-0.016925147790372908,-0.022869501843734152,0.04076848501176604,0.05583537876685735,1.122736290943128,3,0.06235734223469158,0.12203766334819069,0.17504039120703646,0.17216684984809547,-0.3877260506056983,0.09029463226238513,5.5,8.0,6.0,,Consumer Discretionary,,-0.04049993423650608,bull,0.10977514452759733,0.8,0.6,0.531,0.05,0.27,0.0
BA,2025-06-16,2025-06-30,200.57000732421875,213.8800048828125,0.0664,14,📈 모멘텀,★★★★★ (10.0),0.5995,Industrials,"시간익절(11일,+7.0%)",15.225293291935147,202.65,0.0217,0.0754,0.057,47.19154231402494,35.824964393912545,-1.905380313473322,0.13419148995856336,0.028990751510438804,1.2475417591112654,-2.8166732903276532,0.1882774412128759,0.7875681219526498,-0.04971534903140351,-0.02870441238977539,0.05927532689728482,0.09489205336467142,0.9299631421936797,3,0.27307573043836986,0.2902763481375763,0.37244087442241103,0.04090611985032429,0.22930539910470027,0.4795497304904313,5.75,10.0,6.0,,Industrials,,-0.04426632086024637,bull,0.12976564272625588,1.0,0.85,0.637,0.2,0.22,0.0
EQIX,2025-07-01,2025-07-08,783.3764553958691,763.5966796875,-0.0252,7,📉 바닥반등,★★★★★ (7.2),0.4171,Unknown,교체→CCL,4.156859427152134,-82.22,-0.0221,0.0301,0.0023,36.05527712765137,29.845746739707327,-14.877732805936892,0.0705828693274887,0.035981875415091014,0.2643518216413427,-1.077700638841584,-0.012839429880655596,0.2558803970599691,-0.1061933993681744,-0.10502687327023374,-0.006294433735451116,0.00490177134439001,1.7027110555403133,3,-0.15848699200360963,-0.45333411637532156,-0.1499910691727809,-0.20476012224726894,-0.9816987504242018,0.8031144411572919,7.25,3.5,5.5,,Unknown,,-0.13494494998547402,bull,-0.07163206518868911,0.725,0.75,0.492,0.05,0.26,0.05
