ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
QCOM,2022-04-04,2022-04-07,134.79840692140573,127.54478159602016,-0.0538,3,📉 바닥반등,★★★★★ (6.5),0.4826,Information Technology,트레일링(-9.4%),12.364142164071845,-89.68,-0.0206,-0.0499,0.0057,39.71732099899454,23.77442553019668,0.23623258426355243,0.18361010487743365,0.04631274598094891,2.2838536455405447,0.6132129426917108,0.09021703104640355,0.3760304064501822,-0.06950710862141207,-0.09410830792546232,-0.03385229259715723,0.02739452351793571,,4,-0.7696367838594158,-0.49922187168228677,-0.013436063122819135,0.4677243514730966,-0.9961819068151333,0.6799205492919038,6.5,1.75,8.0,,Information Technology,,-0.14987316565199982,bull,-0.06317885134924894,0.65,0.95,0.521,0.05,0.21,0.0
PM,2022-03-21,2022-04-11,77.44113710494781,83.74348068636232,0.0814,21,📉 바닥반등,★★★★★ (6.5),0.4103,Consumer Staples,"시간익절(18일,+7.3%)",21.521722549192543,135.64,0.0169,0.0187,-0.0198,39.95300594055999,43.01672382817024,-0.4096059237644081,0.32817095725099127,0.027653849092552557,0.4555226426903422,0.6091362217977909,-0.21471162047074174,0.3361511572980633,0.05659931794588857,-0.16085796977332156,-0.02046927903053387,0.02622768126268684,,3,-0.9046144785594523,-0.43617901305868495,0.23313543599175324,-0.15631823018909757,-0.9901077896660411,0.5544900794015668,6.5,4.0,6.0,,Consumer Staples,,-0.18297202993836736,neutral,-0.025463371561985748,0.65,0.7,0.465,0.05,0.17,0.0
GM,2022-04-11,2022-04-27,37.35668589418241,36.85615198193563,-0.0134,16,📉 바닥반등,★★★★★ (6.5),0.4652,Consumer Discretionary,트레일링(-9.6%),45.02498293999467,-22.54,0.0752,-0.0266,-0.0603,35.32373377763612,25.627855951776777,-0.32589465474110435,0.04381636991360553,0.043739580554415,1.0059826803086014,-1.8746541166992068,-0.11339146767415134,0.023316454697341067,-0.08403145058542039,-0.05203542753114965,-0.0699762112363069,-0.128636138527653,1.4857204610364505,3,-0.7110180589273999,-0.707534410429578,-0.4630004741674789,-0.43631019076777805,-0.9244889266844707,0.822771000546699,6.5,2.0,6.0,,Consumer Discretionary,,-0.1036985542076471,bull,-0.2533343640706522,0.65,0.95,0.458,0.05,0.17,0.0
NEM,2022-04-22,2022-05-10,63.41017306698213,62.05703460741199,-0.0213,18,📈 모멘텀,★★★★★ (9.0),0.4519,Materials,트레일링(-7.5%),53.050924283192565,-71.79,-0.0604,-0.0099,-0.0286,44.314372070610546,34.35746506610632,-0.5662059534113428,0.06824101097590243,0.03534460742319285,3.8792016793001087,-1.9496408451323979,-0.08257755749411216,0.7469993544433052,-0.08588387550654009,-0.02344456715946841,0.0666051126805657,0.15450269436560074,1.4868321924877363,3,-0.20445654362871474,0.34273996125197315,0.4651811039019247,-0.2606617157368981,-0.9250256091300926,0.601122449628472,8.0,9.0,6.0,,Materials,,0.03564856516247655,bear,0.17925704763303824,0.9,0.65,0.539,0.05,0.27,0.0
BMY,2022-05-02,2022-05-24,63.6268626191317,64.74960658169145,0.0176,22,📈 모멘텀,★★★★★ (11.0),0.4961,Health Care,"장기보유(21일,+1.8%)",26.0809278646018,29.28,-0.0227,-0.0068,0.0129,52.35099143484263,38.85598334139852,-0.3353019948074407,0.3062417452940478,0.020377951888233912,2.6283797043036974,0.6525543848218525,0.17694759828459766,0.8999803307329405,-0.006336925882562294,0.030671986699299714,0.041687147551923036,0.10039805134674343,1.2103694896042516,4,0.014740564286456596,0.5362109887678643,0.5669044975498032,0.5917565644437135,-0.6051489608409482,0.17049059244368142,6.0,11.0,6.0,,Health Care,,0.08046059110394269,bear,0.14262662130345855,1.0,0.7,0.656,0.05,0.27,0.0
F,2022-06-15,2022-06-17,9.327834721211575,8.579775074050819,-0.0802,2,📉 바닥반등,★★★★★ (6.5),0.459,Consumer Discretionary,손절(-7.9%),266.9919124633007,-199.73,0.0712,-0.0036,0.1201,38.07479519209972,27.516346564728703,-0.0444596191308782,0.10606732014928827,0.049007235579663785,1.834851298307882,-0.6501489709812905,-0.008267591642134475,0.029803982374520716,-0.11208151846073466,-0.06513411465600871,-0.06591019462332318,-0.10380213692320192,1.2547260263812523,3,-0.3563910588717739,-0.7201945168208841,-0.35015304978957024,-0.008590658005857954,-0.690592068281547,0.7529589167607182,6.5,2.5,6.0,,Consumer Discretionary,,0.011525842368272726,bear,-0.22476833911462196,0.65,0.95,0.51,0.05,0.17,0.0
MPC,2022-06-17,2022-06-24,84.46276374246638,79.08604128694726,-0.0637,7,📈 모멘텀,★★★★★ (9.5),0.4535,Unknown,손절(-7.8%),28.303519651937147,-152.18,-0.0165,-0.0264,0.0338,36.76538952361945,33.70281171177307,-1.6764303955526287,0.04383020484177855,0.04416487366473512,2.5956281022928454,-1.6077816947195724,-0.12281900645931296,0.663410923745055,-0.17403028423514955,-0.043966380712138986,0.0617818014208959,0.2197595068536749,1.5309412102977433,3,0.5582362639648959,0.26562006709319963,0.34981419107288864,-0.32779396352459034,-0.9435879420038404,0.7981236575185071,6.75,9.5,6.0,,Unknown,,0.029161764723722394,bear,0.1718971628785224,0.95,0.65,0.53,0.05,0.22,0.0
NVDA,2022-07-06,2022-07-19,14.985890495457909,16.45951683745517,0.0983,13,📉 바닥반등,★★★★★ (6.5),0.4549,Information Technology,"시간익절(12일,+7.3%)",154.4455038759244,227.59,0.0029,0.1237,0.1452,38.52396980607723,20.857463220329,-0.10975622497334847,0.18746232650932865,0.06363279624225016,1.6918766712607076,-1.6250373041378103,-0.09931319706854298,0.02341242600006501,-0.11292917288410154,-0.20047214227860322,-0.09005031005738155,-0.15428827168093628,1.1978889919924753,3,0.0460240356046977,-0.9608479650859006,-0.5213717733182811,-0.34357666450319013,-0.578117109148922,0.7045967208474092,6.5,3.0,6.0,,Information Technology,,-0.09310340610940135,bear,-0.29434742627599964,0.65,0.95,0.469,0.05,0.17,0.0
WMT,2022-07-27,2022-08-12,38.56796897395863,41.534735260704,0.0769,16,📉 바닥반등,★★★★★ (6.0),0.451,Consumer Staples,"시간익절(15일,+7.5%)",62.96159623280476,186.79,0.054,0.0123,0.0621,38.05362265748377,26.68702730913787,0.08634102639789598,0.18432369753749733,0.024977858946443755,4.298062274041683,-0.7611894417220713,0.20863337347149255,0.08999753445835736,-0.05850589082352131,-0.01724153589072941,-0.013421702475111744,-0.055148982425983345,1.3854912272536164,3,0.6160394886017522,-0.4348917727293794,-0.2654173046535467,0.38694269452166663,-0.8578036669532652,0.7163249831204802,6.0,4.0,6.0,,Consumer Staples,,-0.01805559328870565,bear,-0.10662411896948042,0.6,0.95,0.53,0.05,0.17,0.0
MRNA,2022-09-02,2022-09-07,140.36000061035156,129.67999267578125,-0.0761,5,📉 바닥반등,★★★★★ (6.5),0.4978,Health Care,손절(-7.3%),17.965923693529312,-191.88,0.075,-0.0302,-0.0313,38.63890008776945,21.443347950396966,-2.455887683308724,0.2654889551605729,0.05803265070892019,2.024147140251667,-0.8716023990038226,-0.259508984663321,0.06440567505860992,-0.021823344152876234,-0.2844268092014792,-0.03204199385281123,-0.12914496130443362,0.774525512589302,3,0.6459083084600961,-0.47440146630814267,-0.7241193030164443,-0.3457169366276156,0.636091579520349,0.6459083084600961,6.5,3.0,6.0,,Health Care,,-0.2503410787366772,bear,-0.21585767215327967,0.65,0.7,0.623,0.35,0.17,0.0
